Name,B27,Category
Biotin,Present,Vitamins
DL Alpha Tocopherol Acetate,Present,Vitamins
DL Alpha-Tocopherol,Present,Vitamins
Vitamin A (acetate),Present,Vitamins
"BSA, fatty acid free Fraction V",Present,Proteins
Catalase,Present,Proteins
Human Recombinant Insulin,Present,Proteins
Human Transferrin,Present,Proteins
Superoxide Dismutase,Present,Proteins
Corticosterone,Present,Other
D-Galactose,Present,Other
Ethanolamine HCl,Present,Other
Glutathione (reduced),Present,Other
L-Carnitine HCl,Present,Other
Linoleic Acid,Present,Other
Linolenic Acid,Present,Other
Progesterone,Present,Other
Putrescine 2HCl,Present,Other
Sodium Selenite,Present,Other
T3 (triodo-I-thyronine),Present,Other
