Name,DMEM,Category
Glycine,30,Amino acids
L-Arginine • HCl,84,Amino acids
L-Cystine • 2HCl,63,Amino acids
L-Histidine • HCl • H2O,42,Amino acids
L-Isoleucine,105,Amino acids
L-Leucine,105,Amino acids
L-Lysine • HCl,146,Amino acids
L-Methionine,30,Amino acids
L-Phenylalanine,66,Amino acids
L-Serine,42,Amino acids
L-Threonine,95,Amino acids
L-Tryptophan,16,Amino acids
L-Tyrosine • 2Na • 2H2O,104,Amino acids
L-Valine,94,Amino acids
Choline Chloride,4,Vitamins
D-Pantothenic Acid (hemicalcium),4,Vitamins
Folic Acid,4,Vitamins
Niacinamide,4,Vitamins
Pyridoxine • HCl,4,Vitamins
Riboflavin,0.4,Vitamins
Thiamine • HCl,4,Vitamins
myo-Inositol,7.2,Vitamins
Calcium Chloride,200,Inorganic salts
Ferric Nitrate • 9H2O,0.1,Inorganic salts
Magnesium Sulfate (anhydrous),97.67,Inorganic salts
Potassium Chloride,400,Inorganic salts
Sodium Bicarbonate,3700,Inorganic salts
Sodium Chloride,6400,Inorganic salts
Sodium Phosphate Dibasic (anhydrous),125,Inorganic salts
D-Glucose,4500,Carbohydrates
Phenol Red • Na,15,Other
