Name,ECGM,Category
Glycine,30,Amino Acids
L-Alanine,2,Amino Acids
L-Arginine hydrochloride,84,Amino Acids
L-Asparagine-H2O,0.83,Amino Acids
L-Cysteine,31.5,Amino Acids
L-Histidine hydrochloride-H2O,42,Amino Acids
L-Isoleucine,105,Amino Acids
L-Leucine,105,Amino Acids
L-Lysine hydrochloride,146,Amino Acids
L-Methionine,30,Amino Acids
L-Phenylalanine,66,Amino Acids
L-Proline,7.76,Amino Acids
L-Serine,42,Amino Acids
L-Threonine,95,Amino Acids
L-Tryptophan,16,Amino Acids
L-Tyrosine,72,Amino Acids
L-Valine,94,Amino Acids
Choline chloride,4,Vitamins
D-Calcium pantothenate,4,Vitamins
Folic Acid,4,Vitamins
Niacinamide,4,Vitamins
Pyridoxal hydrochloride,4,Vitamins
Riboflavin,0.4,Vitamins
Thiamine hydrochloride,4,Vitamins
Vitamin B12,0.0068,Vitamins
i-Inositol,7.2,Vitamins
Calcium Chloride (CaCl2) (anhyd.),200,Inorganic Salts
"Ferric Nitrate (Fe(NO3)3""9H2O)",0.1,Inorganic Salts
Magnesium Chloride (anhydrous),77.3,Inorganic Salts
Potassium Chloride (KCl),400,Inorganic Salts
Sodium Bicarbonate (NaHCO3),2200,Inorganic Salts
Sodium Chloride (NaCl),3000,Inorganic Salts
Sodium Phosphate monobasic (NaH2PO4-H2O),125,Inorganic Salts
Zinc sulfate (ZnSO4-7H2O),0.194,Inorganic Salts
D-Glucose (Dextrose),4500,Carbohydrates
HEPES,2600,Other
Phenol Red,8.1,Other
BSA,100,Proteins
Transferrin,100,Proteins
Putrescine dihydrochloride,16,Other
Progesterone,0.06,Other
Sodium Selenite,0.04,Trace elements
thyroid hormone,0.04,Other
L Glutamine,292.28,Amino Acids
Sodium Pyruvate,137.03,Other
Penicillin,60,Other
Streptomycin,100,Other
Insulin,5,Proteins
NAC,5,Amino Acids
Puromycin,1,Other
Forskolin,4.2,Other
FCS,0.50%,Proteins
bFGF,0.05,Proteins
