Name,F10,Category
Glycine,7.5,Amino acids
L-Alanine,9,Amino acids
L-Arginine hydrochloride,211,Amino acids
L-Asparagine-H2O,15,Amino acids
L-Aspartic acid,13,Amino acids
L-Cysteine,25,Amino acids
L-Glutamic Acid,14.7,Amino acids
L-Glutamine,146,Amino acids
L-Histidine hydrochloride-H2O,23,Amino acids
L-Isoleucine,2.6,Amino acids
L-Leucine,13,Amino acids
L-Lysine hydrochloride,29,Amino acids
L-Methionine,4.5,Amino acids
L-Phenylalanine,5,Amino acids
L-Proline,11.5,Amino acids
L-Serine,10.5,Amino acids
L-Threonine,3.6,Amino acids
L-Tryptophan,0.6,Amino acids
L-Tyrosine disodium salt dihydrate,2.62,Amino acids
L-Valine,3.5,Amino acids
Biotin,0.024,Vitamins
Choline chloride,0.7,Vitamins
D-Calcium pantothenate,0.7,Vitamins
Folic Acid,1.3,Vitamins
Niacinamide,0.6,Vitamins
Pyridoxine hydrochloride,0.2,Vitamins
Riboflavin,0.4,Vitamins
Thiamine hydrochloride,1,Vitamins
Vitamin B12,1.4,Vitamins
i-Inositol,0.5,Vitamins
Calcium Chloride (CaCl2) (anhyd.),33.3,Inorganic salts
Cupric sulfate (CuSO4-5H2O),0.0025,Trace elements
Ferric sulfate (FeSO4-7H2O),0.834,Inorganic salts
Magnesium Sulfate (MgSO4) (anhyd.),74.62,Inorganic salts
Potassium Chloride (KCl),285,Inorganic salts
Potassium Phosphate monobasic (KH2PO4),83,Inorganic salts
Sodium Bicarbonate (NaHCO3),1200,Inorganic salts
Sodium Chloride (NaCl),7400,Inorganic salts
Sodium Phosphate dibasic (Na2HPO4) anhydrous,153.7,Inorganic salts
Zinc sulfate (ZnSO4-7H2O),0.03,Inorganic salts
D-Glucose (Dextrose),1100,Carbohydrates
Hypoxanthine Na,4.7,Other
Lipoic Acid,0.2,Other
Phenol Red,1.2,Other
Sodium Pyruvate,110,Other
Thymidine,0.7,Other
