Name,McCoy5A,Category
Glycine,7.5,Amino Acids
L-Alanine,13.9,Amino Acids
L-Arginine hydrochloride,42.1,Amino Acids
L-Asparagine,45,Amino Acids
L-Aspartic acid,19.97,Amino Acids
L-Cysteine,31.5,Amino Acids
L-Glutamic Acid,22.1,Amino Acids
L-Glutamine,219.2,Amino Acids
L-Histidine hydrochloride-H2O,20.96,Amino Acids
L-Hydroxyproline,19.7,Amino Acids
L-Isoleucine,39.36,Amino Acids
L-Leucine,39.36,Amino Acids
L-Lysine hydrochloride,36.5,Amino Acids
L-Methionine,14.9,Amino Acids
L-Phenylalanine,16.5,Amino Acids
L-Proline,17.3,Amino Acids
L-Serine,26.3,Amino Acids
L-Threonine,17.9,Amino Acids
L-Tryptophan,3.1,Amino Acids
L-Tyrosine,18.1,Amino Acids
L-Valine,17.6,Amino Acids
Ascorbic Acid,0.5,Vitamins
Biotin,0.2,Vitamins
Choline chloride,5,Vitamins
D-Calcium pantothenate,0.2,Vitamins
Folic Acid,10,Vitamins
Niacinamide,0.5,Vitamins
Nicotinic acid (Niacin),0.5,Vitamins
Para-Aminobenzoic Acid,1,Vitamins
Pyridoxal hydrochloride,0.5,Vitamins
Pyridoxine hydrochloride,0.5,Vitamins
Riboflavin,0.2,Vitamins
Thiamine hydrochloride,0.2,Vitamins
Vitamin B12,2,Vitamins
i-Inositol,36,Vitamins
Calcium Chloride (CaCl2) (anhyd.),100,Inorganic Salts
Magnesium Sulfate (MgSO4-7H2O),200,Inorganic Salts
Potassium Chloride (KCl),400,Inorganic Salts
Sodium Bicarbonate (NaHCO3),2200,Inorganic Salts
Sodium Chloride (NaCl),5100,Inorganic Salts
Sodium Phosphate monobasic (NaH2PO4-H2O),580,Inorganic Salts
Bacto-Peptone,600,Other
D-Glucose (Dextrose),3000,Carbohydrates
Glutathione (reduced),0.5,Other
HEPES,5958,Other
Phenol Red,10,Other
